1632276019275725600,1582 171,1914 171,1914 1074,1582 1074,
1632276019275725600,871 523,1176 523,1176 1079,871 1079,
1632276019342679600,1588 173,1919 173,1919 1072,1588 1072,
1632276019342679600,802 523,1135 523,1135 1079,802 1079,
1632276019409759600,1574 178,1916 178,1916 1078,1574 1078,
1632276019409759600,771 537,1107 537,1107 1079,771 1079,
1632276019476618600,1637 175,1916 175,1916 1079,1637 1079,
1632276019476618600,783 563,1105 563,1105 1079,783 1079,
1632276019543437600,1783 718,1919 718,1919 1079,1783 1079,
1632276019543437600,824 605,1135 605,1135 1076,824 1076,
1632276019543437600,1640 142,1916 142,1916 1079,1640 1079,
1632276019610316600,870 637,1161 637,1161 1079,870 1079,
1632276019610316600,1230 889,1327 889,1327 1076,1230 1076,
1632276019677417600,839 624,1114 624,1114 1074,839 1074,
1632276019744109600,779 586,1075 586,1075 1076,779 1076,
1632276019811154600,770 512,1050 512,1050 1076,770 1076,
1632276019811154600,1640 142,1916 142,1916 1079,1640 1079,
1632276019877780600,796 446,1073 446,1073 1076,796 1076,
1632276019944765600,847 408,1126 408,1126 1062,847 1062,
1632276020011907600,900 427,1193 427,1193 1079,900 1079,
1632276020078745600,954 476,1240 476,1240 1076,954 1076,
1632276020145687600,994 502,1293 502,1293 1079,994 1079,
1632276020145687600,1230 889,1327 889,1327 1076,1230 1076,
1632276020212547600,335 961,503 961,503 1076,335 1076,
1632276020212547600,1054 543,1370 543,1370 1075,1054 1075,
1632276020279399600,1119 616,1445 616,1445 1076,1119 1076,
1632276020346410600,1150 637,1442 637,1442 1079,1150 1079,
1632276020413303600,1147 641,1418 641,1418 1079,1147 1079,
1632276020479968600,1157 651,1429 651,1429 1079,1157 1079,
1632276020546796600,1191 657,1481 657,1481 1079,1191 1079,
1632276020613925600,1197 664,1480 664,1480 1071,1197 1071,
1632276020680859600,1166 611,1420 611,1420 1076,1166 1076,
1632276020747674600,335 961,503 961,503 1076,335 1076,
1632276020747674600,1151 529,1380 529,1380 1076,1151 1076,
1632276020814500600,423 773,560 773,560 1030,423 1030,
1632276020814500600,1178 461,1427 461,1427 1076,1178 1076,
1632276020881364600,1232 429,1487 429,1487 1064,1232 1064,
1632276020981976600,1250 406,1517 406,1517 1076,1250 1076,
1632276020981976600,1635 691,1741 691,1741 903,1635 903,
1632276021048703600,1276 398,1555 398,1555 1077,1276 1077,
1632276021115559600,1334 389,1630 389,1630 1079,1334 1079,
1632276021182460600,1398 407,1725 407,1725 1076,1398 1076,
1632276021249405600,423 773,560 773,560 1030,423 1030,
1632276021249405600,1448 414,1795 414,1795 1076,1448 1076,
1632276021316392600,1537 444,1916 444,1916 1075,1537 1075,
1632276021383151600,1581 481,1919 481,1919 1076,1581 1076,
1632276021383151600,1635 691,1741 691,1741 903,1635 903,
1632276021450192600,1528 512,1916 512,1916 1079,1528 1079,
1632276021450192600,740 926,901 926,901 1076,740 1076,
1632276021517145600,1501 555,1894 555,1894 1076,1501 1076,
1632276021583915600,1447 537,1800 537,1800 1076,1447 1076,
1632276021650952600,1447 519,1789 519,1789 1067,1447 1067,
1632276021717758600,1790 39,1916 39,1916 1076,1790 1076,
1632276021717758600,1437 511,1777 511,1777 1060,1437 1060,
1632276021784517600,1691 59,1918 59,1918 1069,1691 1069,
1632276021784517600,1451 500,1816 500,1816 1077,1451 1077,
1632276021851668600,1476 509,1863 509,1863 1079,1476 1079,
1632276021918469600,1482 524,1875 524,1875 1079,1482 1079,
1632276021985446600,1473 521,1847 521,1847 1078,1473 1078,
1632276021985446600,740 926,901 926,901 1076,740 1076,
1632276022052317600,1691 59,1918 59,1918 1069,1691 1069,
1632276022052317600,638 869,765 869,765 1076,638 1076,
1632276022052317600,1447 504,1795 504,1795 1060,1447 1060,
1632276022119254600,1432 459,1771 459,1771 1060,1432 1060,
1632276022219536600,1397 437,1690 437,1690 1076,1397 1076,
1632276022286515600,1639 145,1916 145,1916 1076,1639 1076,
1632276022286515600,1311 402,1619 402,1619 1075,1311 1075,
1632276022353314600,1468 538,1916 538,1916 1076,1468 1076,
1632276022353314600,1139 410,1485 410,1485 1061,1139 1061,
1632276022420311600,1388 13,1916 13,1916 1074,1388 1074,
1632276022420311600,1030 432,1362 432,1362 1076,1030 1076,
1632276022487000600,1332 6,1916 6,1916 1064,1332 1064,
1632276022487000600,997 411,1312 411,1312 1070,997 1070,
1632276022553992600,1221 8,1916 8,1916 1062,1221 1062,
1632276022553992600,957 407,1262 407,1262 1063,957 1063,
1632276022620941600,1164 49,1915 49,1915 1079,1164 1079,
1632276022620941600,962 430,1263 430,1263 1079,962 1079,
1632276022687973600,1008 93,1916 93,1916 1067,1008 1067,
1632276022687973600,963 480,1258 480,1258 1076,963 1076,
1632276022754663600,758 125,1894 125,1894 1072,758 1072,
1632276022754663600,923 474,1183 474,1183 854,923 854,
1632276022821557600,438 104,1916 104,1916 1069,438 1069,
1632276022821557600,890 456,1123 456,1123 738,890 738,
1632276022888427600,249 117,1909 117,1909 1079,249 1079,
1632276022888427600,849 465,1079 465,1079 686,849 686,
1632276022955575600,0 115,1904 115,1904 1079,0 1079,
1632276022955575600,814 473,1045 473,1045 691,814 691,
1632276023022339600,13 100,1856 100,1856 1070,13 1070,
1632276023022339600,791 481,1024 481,1024 699,791 699,
1632276023089256600,16 49,1910 49,1910 1067,16 1067,
1632276023089256600,791 481,1024 481,1024 699,791 699,
1632276023156048600,399 35,1916 35,1916 1069,399 1069,
1632276023156048600,791 481,1024 481,1024 699,791 699,
1632276023223032600,640 21,1915 21,1915 1069,640 1069,
1632276023223032600,71 55,904 55,904 1079,71 1079,
1632276023290057600,434 45,1916 45,1916 1070,434 1070,
1632276023290057600,12 0,859 0,859 1079,12 1079,
