"timestamp","framerate","ID","Label","Tracking State","Action State","Position","Velocity","Dimensions","Detection Confidence","Camera_Translation","Camera_Orientation"
"1632276018105082600","24.9377","2","Person","OFF","MOVING","1.25715 -1.60627 -1.67276","1.18467 -0.454108 1.21318","3.78752 9.91009 3.78752","64.9319","0 0 0","0 0 0 1"
"1632276018105082600","24.9377","3","Person","OK","MOVING","1.26793 -0.355344 -1.83644","0.443964 -0.828387 0.145757","0.596279 1.11256 0.596279","72.2998","0 0 0","0 0 0 1"
"1632276018171918600","23.0415","3","Person","OK","IDLE","1.19987 -0.532352 -1.79881","-0.765372 -2.52076 0.355619","0.571517 1.13559 0.571517","61.3085","0 0 0","0 0 0 1"
"1632276018238805600","23.5849","2","Person","OFF","IDLE","1.12429 -1.68201 -1.56077","-2.78603 -1.09565 -0.891916","1.77061 8.10058 1.77061","59.4261","0 0 0","0 0 0 1"
"1632276018238805600","23.5849","3","Person","OK","IDLE","1.04044 -0.577659 -1.825","-2.277 -0.989292 -0.856108","0.567158 1.0734 0.567158","70.2014","0 0 0","0 0 0 1"
"1632276018305681600","26.178","5","Person","OFF","IDLE","0.497319 0.0348855 -0.459757","-0.222316 -0.222942 -0.265584","0.4682 0.413105 0.4682","68.9861","0 0 0","0 0 0 1"
"1632276018305681600","26.178","3","Person","OK","IDLE","0.913302 -0.574221 -1.89478","-1.97106 0.00813669 -0.846143","0.542043 1.0404 0.542044","58.7159","0 0 0","0 0 0 1"
"1632276018406122600","24.8139","5","Person","OK","MOVING","0.478099 -0.004264 -0.488219","-0.109909 -0.161312 0.173299","0.473215 0.415548 0.473215","70.9075","0 0 0","0 0 0 1"
"1632276018406122600","24.8139","3","Person","OK","IDLE","0.765349 -0.61584 -1.89383","-1.2262 -0.695051 0.146655","0.525863 1.05303 0.525863","70.0081","0 0 0","0 0 0 1"
"1632276018472963600","26.9542","5","Person","OK","MOVING","0.47061 -0.0245093 -0.495768","-0.131238 -0.272245 -0.0481328","0.474731 0.414547 0.474731","79.0644","0 0 0","0 0 0 1"
"1632276018472963600","26.9542","3","Person","OK","IDLE","0.682101 -0.654235 -1.89859","-1.22497 -0.348652 -0.0284718","0.516679 1.03407 0.516679","59.4384","0 0 0","0 0 0 1"
"1632276018539933600","28.7356","5","Person","OK","MOVING","0.468747 -0.0283161 -0.493972","0.0177893 0.0398967 -0.201658","0.478403 0.412511 0.478403","77.3337","0 0 0","0 0 0 1"
"1632276018539933600","28.7356","3","Person","OK","IDLE","0.609911 -0.608062 -1.93556","-0.999036 0.884624 -0.563077","0.517768 1.02075 0.517768","60.3701","0 0 0","0 0 0 1"
"1632276018606714600","27.4725","5","Person","OK","MOVING","0.482941 -0.00307052 -0.482819","0.416979 0.677591 0.0567358","0.484637 0.412976 0.484637","85.5472","0 0 0","0 0 0 1"
"1632276018606714600","27.4725","4","Person","TERMINATE","IDLE","-0.478909 -0.76627 -1.99772","1.00285 2.49559 -1.31096","0.501835 0.285631 0.501835","63.3175","0 0 0","0 0 0 1"
"1632276018606714600","27.4725","3","Person","OK","IDLE","0.637175 -0.447904 -1.99173","1.00763 2.84946 -0.618821","0.512802 1.01449 0.512802","52.8843","0 0 0","0 0 0 1"
"1632276018673805600","26.9542","5","Person","OK","MOVING","0.504473 0.0361542 -0.480962","0.333901 0.402457 -0.0168705","0.489101 0.42007 0.489101","81.5638","0 0 0","0 0 0 1"
"1632276018673805600","26.9542","2","Person","OFF","IDLE","0.704151 -1.47327 -1.91439","1.53622 0.814313 -0.150452","0.604639 6.908 0.604639","75.0878","0 0 0","0 0 0 1"
"1632276018673805600","26.9542","3","Person","OK","IDLE","0.716666 -0.334429 -1.99694","0.771542 0.76055 -0.0391661","0.508306 0.997598 0.508306","56.4674","0 0 0","0 0 0 1"
"1632276018740767600","30.03","5","Person","OK","IDLE","0.498932 0.0621857 -0.483344","-0.0394787 0.133793 0.0963076","0.492549 0.428123 0.492549","85.1932","0 0 0","0 0 0 1"
"1632276018740767600","30.03","3","Person","OK","IDLE","0.686615 -0.284205 -2.01218","-0.640356 0.692967 -0.0783599","0.518544 1.01899 0.518544","87.9079","0 0 0","0 0 0 1"
"1632276018807573600","29.9401","5","Person","OK","IDLE","0.500155 0.0573366 -0.482785","0.132714 -0.115714 0.136631","0.494092 0.431578 0.494092","85.6559","0 0 0","0 0 0 1"
"1632276018807573600","29.9401","3","Person","OK","IDLE","0.667143 -0.288449 -2.01339","-0.144467 0.00262786 0.106773","0.527001 1.02675 0.527001","87.9833","0 0 0","0 0 0 1"
"1632276018874497600","31.0559","5","Person","OK","IDLE","0.507149 0.0459205 -0.483867","0.187884 -0.108436 0.151849","0.494652 0.435714 0.494652","79.7106","0 0 0","0 0 0 1"
"1632276018874497600","31.0559","3","Person","OK","IDLE","0.684425 -0.316778 -2.00104","0.176008 -0.264897 0.208585","0.52971 1.03785 0.529709","90.1574","0 0 0","0 0 0 1"
"1632276018941244600","31.6456","5","Person","OK","IDLE","0.517153 0.0449039 -0.506727","0.227211 0.156712 -0.537438","0.495495 0.442745 0.495495","79.3296","0 0 0","0 0 0 1"
"1632276018941244600","31.6456","3","Person","OK","IDLE","0.663544 -0.366129 -2.00571","-0.532093 -0.499512 -0.364853","0.543627 1.05115 0.543627","85.0237","0 0 0","0 0 0 1"
"1632276019008111600","30.1205","5","Person","OK","IDLE","0.502721 0.0265209 -0.503546","-0.218788 -0.425699 0.359772","0.495888 0.447522 0.495888","85.9171","0 0 0","0 0 0 1"
"1632276019008111600","30.1205","3","Person","OK","IDLE","0.572832 -0.428007 -1.97736","-1.48986 -0.807511 0.49792","0.548281 1.05954 0.548282","85.1365","0 0 0","0 0 0 1"
"1632276019075192600","29.8507","5","Person","OK","IDLE","0.487922 0.020203 -0.501674","-0.121874 -0.0649472 0.0247703","0.496525 0.449474 0.496525","84.172","0 0 0","0 0 0 1"
"1632276019075192600","29.8507","3","Person","OK","IDLE","0.472688 -0.430415 -1.97927","-1.41176 -0.0743056 0.0901464","0.541319 1.06195 0.541319","78.6778","0 0 0","0 0 0 1"
