1606220906407651661,-0.483495 0.149673 -0.317131,-0.475655 -0.0613396 -0.840413,0.0882356 -0.0403887 -0.840413,0.0803956 0.170624 -0.317131,-0.468131 -0.263852 -0.150147,-0.460291 -0.474865 -0.673429,0.1036 -0.453914 -0.673429,0.0957598 -0.242901 -0.150147,
1606220906473810661,-0.503243 0.177264 -0.292464,-0.498359 -0.010737 -0.83085,0.0717368 0.00407326 -0.83085,0.0668528 0.192075 -0.292464,-0.492407 -0.239833 -0.146718,-0.487523 -0.427834 -0.685104,0.0825725 -0.413024 -0.685104,0.0776884 -0.225023 -0.146718,
1606220906540247661,-0.518699 0.203007 -0.273335,-0.516361 0.0375171 -0.824791,0.0593383 0.0456487 -0.824791,0.0570008 0.211139 -0.273335,-0.512745 -0.218507 -0.146815,-0.510407 -0.383997 -0.698271,0.0652921 -0.375866 -0.698271,0.0629546 -0.210376 -0.146815,
1606220906606441661,-0.503018 0.216745 -0.291743,-0.501389 0.0572208 -0.858884,0.0877318 0.0632367 -0.858884,0.0861028 0.222761 -0.291743,-0.498628 -0.21314 -0.170813,-0.496999 -0.372664 -0.737954,0.0921217 -0.366648 -0.737954,0.0904927 -0.207124 -0.170813,
1606220906672763661,-0.491996 0.227135 -0.301651,-0.49042 0.0587122 -0.881632,0.113497 0.064364 -0.881632,0.111921 0.232787 -0.301651,-0.487895 -0.2111 -0.174379,-0.486318 -0.379523 -0.75436,0.117598 -0.373871 -0.75436,0.116022 -0.205448 -0.174379,
1606220906739033661,-0.522733 0.243091 -0.288424,-0.521412 0.0550103 -0.869478,0.0893107 0.0593026 -0.869478,0.0879888 0.247383 -0.288424,-0.519619 -0.200078 -0.144968,-0.518297 -0.388158 -0.726023,0.0924254 -0.383866 -0.726023,0.0911035 -0.195785 -0.144968,
1606220906805315661,-0.548191 0.257366 -0.288242,-0.548905 0.044099 -0.858582,0.0600007 0.0420609 -0.858582,0.0607146 0.255328 -0.288242,-0.549692 -0.190946 -0.120603,-0.550406 -0.404213 -0.690943,0.0585002 -0.406251 -0.690943,0.059214 -0.192984 -0.120603,
1606220906871663661,-0.533483 0.262743 -0.32066,-0.535897 0.0118048 -0.872131,0.0699599 0.00597525 -0.872131,0.0723744 0.256914 -0.32066,-0.537862 -0.192376 -0.113546,-0.540277 -0.443314 -0.665018,0.0655808 -0.449144 -0.665018,0.0679953 -0.198205 -0.113546,
1606220906937903661,-0.519213 0.268215 -0.355067,-0.525009 -0.014134 -0.885072,0.075414 -0.0264588 -0.885072,0.0812097 0.255891 -0.355067,-0.52863 -0.190549 -0.110567,-0.534426 -0.472898 -0.640572,0.065997 -0.485223 -0.640572,0.0717927 -0.202874 -0.110567,
1606220907004290661,-0.502531 0.274752 -0.384241,-0.513178 -0.0305468 -0.890822,0.0780238 -0.0511652 -0.890822,0.0886713 0.254134 -0.384241,-0.518356 -0.179023 -0.110433,-0.529004 -0.484322 -0.617014,0.0621982 -0.50494 -0.617014,0.0728457 -0.199641 -0.110433,
1606220907070652661,-0.518484 0.284808 -0.383136,-0.533799 -0.0270284 -0.86596,0.0404827 -0.0552335 -0.86596,0.0557982 0.256603 -0.383136,-0.540195 -0.157244 -0.0969442,-0.55551 -0.469081 -0.579769,0.0187719 -0.497286 -0.579769,0.0340873 -0.18545 -0.0969442,
1606220907136773661,-0.496305 0.287105 -0.388299,-0.511077 -0.0173306 -0.858062,0.0482447 -0.0444707 -0.858062,0.0630168 0.259965 -0.388299,-0.517682 -0.15346 -0.102114,-0.532454 -0.457896 -0.571877,0.0268671 -0.485036 -0.571877,0.0416393 -0.1806 -0.102114,
1606220907203279661,-0.494411 0.266065 -0.373012,-0.508516 -0.0202985 -0.841779,0.0403149 -0.0473302 -0.841779,0.0544192 0.239033 -0.373012,-0.514933 -0.150596 -0.117863,-0.529037 -0.436959 -0.58663,0.019793 -0.46399 -0.58663,0.0338973 -0.177627 -0.117863,
1606220907269467661,-0.520682 0.279496 -0.363121,-0.534373 0.0196409 -0.835829,0.00447592 -0.00875014 -0.835829,0.0181672 0.251105 -0.363121,-0.543442 -0.152484 -0.124996,-0.557133 -0.412339 -0.597704,-0.0182844 -0.44073 -0.597704,-0.00459307 -0.180876 -0.124996,
1606220907335759661,-0.513192 0.293266 -0.353571,-0.528162 0.0562164 -0.829243,0.00245768 0.0227054 -0.829243,0.0174284 0.259755 -0.353571,-0.540624 -0.141109 -0.136239,-0.555595 -0.378158 -0.611911,-0.024975 -0.411669 -0.611911,-0.0100043 -0.17462 -0.136239,
1606220907402275661,-0.526666 0.248785 -0.34321,-0.538421 0.0333821 -0.822217,-0.0138596 0.00475717 -0.822217,-0.00210521 0.22016 -0.34321,-0.549816 -0.175441 -0.151873,-0.561571 -0.390844 -0.630879,-0.0370094 -0.419469 -0.630879,-0.0252549 -0.204066 -0.151873,
1606220907468370661,-0.541328 0.228533 -0.334491,-0.544894 0.0410931 -0.819814,-0.0247149 0.0311968 -0.819814,-0.021149 0.218636 -0.334491,-0.549494 -0.200664 -0.168668,-0.55306 -0.388104 -0.653991,-0.0328803 -0.398 -0.653991,-0.0293143 -0.21056 -0.168668,
1606220907534779661,-0.546956 0.223766 -0.331294,-0.548454 0.0494165 -0.817177,-0.0322544 0.0449796 -0.817177,-0.0307559 0.219329 -0.331294,-0.550662 -0.207424 -0.176559,-0.55216 -0.381774 -0.662441,-0.0359606 -0.386211 -0.662441,-0.0344621 -0.211861 -0.176559,
